addr:housenumber,addr:unit,addr:full,addr:city,addr:housenumber:source,addr:province,addr:postcode,addr:interpolation,addr:housename,addr:state,address,addr:county,addr:country,addr:suite,addr:street
1115,,,Albany,,,94706,,,,1115 Solano Avenue,,,,Solano Avenue
421,,,,,,94609,,,,421 40th Street,,,,40th Street
1600,102,,Berkeley,,,94709,,,CA,,,,,Shattuck Avenue
2655,,,Berkeley,,,,2683,,,,,,,Buena Vista Way
693,,,Berkeley,,,,680,,,,,,,Spruce Street
4184,,,,,,94611,,,,4184 Piedmont Avenue,,,,Piedmont Avenue
400,,,,,,94609,,,,400 40th Street,,,,40th Street
1306,,1306 3rd Street,Berkeley,,,,,,CA,,,US,,3rd Street
5201,,5201 Park Boulevard,Piedmont,,,,,,CA,,,US,,Park Boulevard
2791,,2791 Wood Street,Oakland,,,,,,CA,,,US,,Wood Street
568,,568 Bellevue Avenue,Oakland,,,,,,CA,,,US,,Bellevue Avenue
1175,,,Albany,,,94706,,,,1175 Solano Ave,,,,Solano Avenue
464,,,Oakland,,,94607,,,CA,464 3rd Street,,,,3rd Street
4401,,,,,,94611,,,,4401 Piedmont Avenue,,,,Piedmont Avenue
4290,,,Oakland,,,94611,,,,4290 Piedmont Avenue,,,,Piedmont Avenue
1035,,,,survey,,,,,,,,,,59th Street
,,,,,,,,1601,,,,,,San Pablo Avenue
,,,,,,,,Sushi Village,,,,,,
960,,,,,,94608,,Rivithead,,,,,,Arlington Avenue
1229,,,Albany,,,94706,,Evergrenn Building,,,,,,Solano Avenue
5095,,,,,,94609,,Temescal Plaza,,,,,,Telegraph Avenue
3612,,,,,,94610,,Margene's Bridal,,,,,,Grand Avenue
411,,,,,,94612,,Classic Cars West,,,,,,26th Street
1801,,,Berkeley,,,,,The University Lofts,,,,,,University Avenue
2415,,,Berkeley,,Alameda County,94705,,,CA,,,US,,Russell Street
419,,,,,,94609,,,,419 40th Street,,,,40th Street
1220,,,,,,94608,,Emeryville Child Development Center,,,,,,53rd Street
3943,,,Oakland,,,94611,,Cafe Crush,,,,,,Piedmont Avenue
3838,,,Oakland,,,94609,,Beauty's Bagel Shop,,,,,,Telegraph Avenue
,,,Oakland,,,94610,,QuickStop Market,CA,,,,,Merritt Avenue
954,10,,,,,94608,,,,,,,,60th Street
178,,,,,,94607,,hk outlets,,,,,,10th Street
555,110,,Oakland,,,94607,,,,,,,,12th Street
2930,,,Berkeley,,,94705,,Suite 305,,,,,,Shattuck Avenue
412,,,Oakland,,,94612,,Pi Dan Noodle House,,,,,,22nd Street
2819,B,,Berkeley,,,94702,,,,,,,,San Pablo Avenue
5800,150,,Emeryville,,,94608,,,,,,,,Hollis Street
,,,,,,,,,,,,,105,
2075,,,Berkeley,,,94704,,,,,,,203,Allston Way
2055,D,,Berkeley,,,94704,,,,,,,,Center Street
2150,400,,Berkeley,,,94704,,,CA,,,,,Allston Way
